nom,ref,marque,modele,categorie,co2,nb_km,carburant,boite_vitesse,couleur,nb_portes,nb_places,mise_circulation,conso_mixte,p_fiscale,p_din,critair,prix
Peugeot 208,12003930203094,Peugeot,208,Citadine,A,61967,Diesel,Manuelle,Rouge rubi,5,5,2017,3.5,4,100,2,12186
Peugeot 208,12003933203095,Peugeot,208,Citadine,A,40123,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13308
Peugeot 208,12003657203176,Peugeot,208,Citadine,B,10023,Essence,Manuelle,Gris artense,5,5,2019,4.7,4,82,1,13716
Peugeot 208,12003657203177,Peugeot,208,Citadine,B,7881,Essence,Manuelle,Gris platinium,5,5,2019,4.7,4,82,1,14022
Peugeot 208,12003791203455,Peugeot,208,Citadine,B,13559,Essence,Manuelle,Noir perla nera,5,5,2019,4.5,5,110,1,16470
Peugeot 208,12004196203530,Peugeot,208,Citadine,B,13958,Essence,Manuelle,Gris platinium,5,5,2019,4.7,4,82,1,14226
Peugeot 208,12004318203943,Peugeot,208,Citadine,A,11197,Diesel,Manuelle,Gris artense,5,5,2019,3.2,5,102,2,16776
Peugeot 3008,12002639199418,Peugeot,3008,Suv 4x4,B,37900,Diesel,Auto,Rouge ultimate,5,5,2017,4.2,6,120,2,23916
Peugeot 3008,12002935203070,Peugeot,3008,Suv 4x4,B,3056,Diesel,Manuelle,Metallic copper,5,5,2019,4.1,6,130,2,30546
Peugeot 208,11908157193645,Peugeot,208,Citadine,A,36000,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13716
